species,country_of_origin,region,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,color
Arabica,Ethiopia,guji-hambela,2014,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,Green
Arabica,Ethiopia,guji-hambela,2014,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,Green
Arabica,Ethiopia,oromia,2014,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,Green
Arabica,Ethiopia,guji-hambela,2014,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,Green
Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",2014,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,Green
Arabica,China,yunnan,2015,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,Green
Arabica,United States,antioquia,2014,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,None
Arabica,Costa Rica,san ramon,2014,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,Green
Arabica,Mexico,xalapa,2012,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,Green
Arabica,Ethiopia,sidamo,2013,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,Bluish-Green
Arabica,Brazil,south of minas,2011,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,Green
Arabica,Uganda,kapchorwa eastern,2013,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,Green
Arabica,Honduras,comayagua,2016,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1,Green
Arabica,Taiwan,"leye, alishan township, chiayi county",2015,8,8,8,8.25,8,8.17,10,10,10,8.17,0,Green
Arabica,Brazil,vale da grama,2011,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,Green
Arabica,Costa Rica,west and central valley,2015/2016,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,Blue-Green
Arabica,Ethiopia,oromia,2014,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,Green
Arabica,Kenya,muranga,2013,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,Blue-Green
Arabica,Thailand,chiang rai,2012,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,Green
Arabica,Taiwan,natou county,2015,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,Green
Arabica,Kenya,nyeri,2014,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,Bluish-Green
Arabica,Brazil,south of minas,2011,8.33,8,8,8,7.75,8,10,10,10,8,0.11,Blue-Green
Arabica,Colombia,tolima,2013,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,Green
Arabica,Kenya,kiambu,2013,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,Green
Arabica,Uganda,"sipi, mt elgon",2012,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,Blue-Green
Arabica,Guatemala,nuevo oriente,2016,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,Green
Arabica,Uganda,eastern,2013,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,Green
Arabica,Colombia,huila,2013,8,8,8,8.17,7.83,8,10,10,10,7.92,0,Blue-Green
Arabica,Panama,boquete,2017,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,Bluish-Green
Arabica,Ethiopia,oromia,2014,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,Green
Arabica,Guatemala,acatenango,2012,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,Green
Arabica,Guatemala,nuevo oriente,2012,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,Bluish-Green
Arabica,Ethiopia,addis ababa,2017,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09,None
Arabica,Peru,cajamarca,2013,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1,Green
Arabica,Papua New Guinea,eastern highlands province,2012,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12,Bluish-Green
Arabica,El Salvador,apaneca,2013,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,Blue-Green
Arabica,El Salvador,"ataco, apaneca - ilamatepec mountain range",2012,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,None
Arabica,Kenya,kirinyaga,2014,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,Green
Arabica,Ethiopia,oromia,2015,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,Green
Arabica,Uganda,bulambuli eastern region,2013,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,Green
Arabica,Guatemala,huehuetenango,2013,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,Green
Arabica,Ethiopia,oromia,2015,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1,Green
Arabica,Uganda,kapchorwa,2013,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,Green
Arabica,Brazil,south of minas,2011,8,8,8,7.67,7.75,8,10,10,10,8,0.11,Blue-Green
Arabica,China,yunnan,2015,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1,Green
Arabica,Guatemala,huehuetenango,2014,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11,Green
Arabica,Costa Rica,west valley,2014,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,Bluish-Green
Arabica,Costa Rica,san ramon,2014,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1,Bluish-Green
Arabica,Kenya,central kenya,2012,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0,Green
Arabica,Kenya,central kenya,2012,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0,Green
Arabica,Guatemala,oriente,2016,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1,Green
Arabica,Colombia,santander,2015,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11,Green
Arabica,Colombia,santander,2014,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,0.12,Green
Arabica,Indonesia,lintong,2012,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0.11,Green
Arabica,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",2016,7.75,8,7.58,8,8,7.92,10,10,10,7.83,0.11,Green
Arabica,Ethiopia,aricha,2014,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,0.1,Green
Arabica,United States (Hawaii),kona,2014,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,0.11,Bluish-Green
Arabica,Colombia,cundinamarca,2012,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,0.11,Green
Arabica,Uganda,eastern uganda,2016,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,0.11,Green
Arabica,Colombia,huila,2016,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,0,Green
Arabica,Costa Rica,tarrazu,2016,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,0.12,Green
Arabica,Mexico,veracruz,2015,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,0.09,Green
Arabica,Kenya,central kenya,2012,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,0,Green
Arabica,Brazil,grama valley,2012,8,8,7.83,7.83,7.67,7.67,10,10,10,8,0.12,Green
