country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,Continent
Ethiopia,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,Africa
Ethiopia,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,Africa
Guatemala,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,Americas
Ethiopia,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,Africa
Ethiopia,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,Africa
Brazil,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,Americas
Peru,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,Americas
Ethiopia,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,Africa
Ethiopia,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,Africa
Ethiopia,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,Africa
Ethiopia,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,Africa
United States,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,North America
United States,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,North America
United States (Hawaii),8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,North America
Ethiopia,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,Africa
United States,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,North America
Indonesia,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,Asia
Ethiopia,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,Africa
China,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,Asia
Ethiopia,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,Africa
United States,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,North America
Costa Rica,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,Americas
Mexico,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,North America
United States,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,North America
Ethiopia,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,Africa
Brazil,8.5,8.5,8,8,8,8,10,10,10,7.92,Americas
Ethiopia,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,Africa
Uganda,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,Africa
Honduras,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,Americas
Taiwan,8,8,8,8.25,8,8.17,10,10,10,8.17,Asia
Nicaragua,7.92,8.25,8,8.33,8,8.08,10,10,10,8,Americas
"Tanzania, United Republic Of",8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,Africa
Brazil,8.5,8.17,8,7.75,8,8,10,10,10,8,Americas
Costa Rica,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,Americas
Ethiopia,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,Africa
Kenya,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,Africa
United States (Hawaii),8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,North America
United States (Hawaii),8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,North America
Ethiopia,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,Africa
United States,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,North America
Thailand,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,Asia
Brazil,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,Americas
Brazil,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,Americas
Taiwan,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,Asia
Kenya,8.08,8.08,8,8,7.83,8.08,10,10,10,8,Africa
Brazil,8.33,8,8,8,7.75,8,10,10,10,8,Americas
Uganda,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,Africa
Colombia,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,Americas
Kenya,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,Africa
Uganda,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,Africa
Ethiopia,7.75,8.08,8,8.25,8,8,10,10,10,7.92,Africa
United States (Hawaii),8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,North America
Guatemala,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,Americas
Uganda,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,Africa
Colombia,8,8,8,8.17,7.83,8,10,10,10,7.92,Americas
Panama,8,8,7.92,8.08,7.83,8,10,10,10,8,Americas
Ethiopia,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,Africa
Guatemala,7.83,8,8,8.17,7.83,8,10,10,10,8,Americas
Guatemala,8,8,7.83,8.33,7.83,7.83,10,10,10,8,Americas
Ethiopia,7.83,8,7.83,8.17,7.92,8,10,10,10,8,Africa
Peru,8,8,8,8.08,7.92,7.75,10,10,10,8,Americas
Papua New Guinea,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,Oceania
El Salvador,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,Americas
El Salvador,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,Americas
United States (Hawaii),7.83,8,7.92,7.75,8.08,8,10,10,10,8,North America
Panama,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,Americas
Kenya,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,Africa
Ethiopia,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,Africa
Uganda,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,Africa
Guatemala,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,Americas
Ethiopia,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,Africa
Uganda,8.08,8,7.83,7.67,8,7.83,10,10,10,8,Africa
United States (Hawaii),7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,North America
Brazil,8,8,8,7.67,7.75,8,10,10,10,8,Americas
