country_of_origin,Continent,Category,Rating
Ethiopia,Africa,aroma,8.67
Ethiopia,Africa,aroma,8.75
Guatemala,Americas,aroma,8.42
Ethiopia,Africa,aroma,8.17
Ethiopia,Africa,aroma,8.25
Brazil,Americas,aroma,8.58
Peru,Americas,aroma,8.42
Ethiopia,Africa,aroma,8.25
Ethiopia,Africa,aroma,8.67
Ethiopia,Africa,aroma,8.08
Ethiopia,Africa,aroma,8.17
United States,North America,aroma,8.25
United States,North America,aroma,8.08
United States (Hawaii),North America,aroma,8.33
Ethiopia,Africa,aroma,8.25
United States,North America,aroma,8
Indonesia,Asia,aroma,8.33
Ethiopia,Africa,aroma,8.17
China,Asia,aroma,8.42
Ethiopia,Africa,aroma,8.17
United States,North America,aroma,8
Costa Rica,Americas,aroma,8.08
Mexico,North America,aroma,8.17
United States,North America,aroma,8.25
Ethiopia,Africa,aroma,8.42
Brazil,Americas,aroma,8.5
Ethiopia,Africa,aroma,7.83
Uganda,Africa,aroma,8.42
Honduras,Americas,aroma,8.17
Taiwan,Asia,aroma,8
Nicaragua,Americas,aroma,7.92
"Tanzania, United Republic Of",Africa,aroma,8.42
Brazil,Americas,aroma,8.5
Costa Rica,Americas,aroma,8.17
Ethiopia,Africa,aroma,8
Kenya,Africa,aroma,8.08
United States (Hawaii),North America,aroma,8.08
United States (Hawaii),North America,aroma,8.25
Ethiopia,Africa,aroma,7.92
United States,North America,aroma,7.67
Thailand,Asia,aroma,7.83
Brazil,Americas,aroma,8.17
Brazil,Americas,aroma,8.42
Taiwan,Asia,aroma,8.08
Kenya,Africa,aroma,8.08
Brazil,Americas,aroma,8.33
Uganda,Africa,aroma,8.08
Colombia,Americas,aroma,7.75
Kenya,Africa,aroma,7.92
Uganda,Africa,aroma,8.25
Ethiopia,Africa,aroma,7.75
United States (Hawaii),North America,aroma,8.33
Guatemala,Americas,aroma,7.92
Uganda,Africa,aroma,8.17
Colombia,Americas,aroma,8
Panama,Americas,aroma,8
Ethiopia,Africa,aroma,7.83
Guatemala,Americas,aroma,7.83
Guatemala,Americas,aroma,8
Ethiopia,Africa,aroma,7.83
Peru,Americas,aroma,8
Papua New Guinea,Oceania,aroma,8.33
El Salvador,Americas,aroma,7.92
El Salvador,Americas,aroma,7.83
United States (Hawaii),North America,aroma,7.83
Panama,Americas,aroma,8
Kenya,Africa,aroma,7.92
Ethiopia,Africa,aroma,7.83
Uganda,Africa,aroma,8.33
Guatemala,Americas,aroma,8
Ethiopia,Africa,aroma,7.75
Uganda,Africa,aroma,8.08
United States (Hawaii),North America,aroma,7.92
Brazil,Americas,aroma,8
El Salvador,Americas,aroma,8.08
China,Asia,aroma,8
Guatemala,Americas,aroma,7.83
Costa Rica,Americas,aroma,7.92
Costa Rica,Americas,aroma,8
Kenya,Africa,aroma,7.83
Kenya,Africa,aroma,8
Ethiopia,Africa,aroma,7.83
Ethiopia,Africa,aroma,7.92
Guatemala,Americas,aroma,8
Colombia,Americas,aroma,8.17
Colombia,Americas,aroma,7.58
Indonesia,Asia,aroma,7.75
Guatemala,Americas,aroma,8.25
Ethiopia,Africa,aroma,7.75
Colombia,Americas,aroma,8.17
Ethiopia,Africa,aroma,8.42
United States (Hawaii),North America,aroma,7.58
Colombia,Americas,aroma,7.83
United States (Hawaii),North America,aroma,8.08
Ethiopia,Africa,aroma,7.67
United States (Hawaii),North America,aroma,7.5
Uganda,Africa,aroma,8.17
Colombia,Americas,aroma,8
Costa Rica,Americas,aroma,7.83
Mexico,North America,aroma,7.83
Kenya,Africa,aroma,8.17
Kenya,Africa,aroma,7.75
Brazil,Americas,aroma,8
Mexico,North America,aroma,7.92
United States (Hawaii),North America,aroma,7.75
Guatemala,Americas,aroma,7.83
Colombia,Americas,aroma,7.92
Colombia,Americas,aroma,7.92
Taiwan,Asia,aroma,7.67
"Tanzania, United Republic Of",Africa,aroma,8
Colombia,Americas,aroma,7.75
Mexico,North America,aroma,7.75
Brazil,Americas,aroma,8
Brazil,Americas,aroma,8
Kenya,Africa,aroma,8
Taiwan,Asia,aroma,7.92
Uganda,Africa,aroma,7.75
United States (Hawaii),North America,aroma,7.67
Ethiopia,Africa,aroma,7.75
Ethiopia,Africa,aroma,7.42
Thailand,Asia,aroma,7.75
Kenya,Africa,aroma,7.92
Honduras,Americas,aroma,7.83
El Salvador,Americas,aroma,7.75
Nicaragua,Americas,aroma,7.83
El Salvador,Americas,aroma,7.83
Indonesia,Asia,aroma,7.92
Japan,Asia,aroma,7.75
Costa Rica,Americas,aroma,8.08
Guatemala,Americas,aroma,7.75
Costa Rica,Americas,aroma,8.17
Ethiopia,Africa,aroma,8.08
Costa Rica,Americas,aroma,7.67
Costa Rica,Americas,aroma,8
Costa Rica,Americas,aroma,8.08
Taiwan,Asia,aroma,8
Colombia,Americas,aroma,7.75
Kenya,Africa,aroma,7.75
Guatemala,Americas,aroma,8
Guatemala,Americas,aroma,7.67
Mexico,North America,aroma,7.83
Uganda,Africa,aroma,7.92
Peru,Americas,aroma,7.67
Ethiopia,Africa,aroma,7.42
Kenya,Africa,aroma,7.92
Colombia,Americas,aroma,7.83
Colombia,Americas,aroma,7.92
Kenya,Africa,aroma,7.83
Guatemala,Americas,aroma,7.75
Guatemala,Americas,aroma,8
Colombia,Americas,aroma,7.67
Colombia,Americas,aroma,7.75
Kenya,Africa,aroma,7.75
