country_of_origin,acidity,aftertaste,aroma,balance,body,clean_cup,cupper_points,flavor,sweetness,uniformity
Brazil,7.51,7.44,7.55,7.53,7.54,9.85,7.56,7.57,9.95,9.88
Burundi,7.42,7.25,7.42,7.42,7.29,10,7.58,7.46,10,10
China,7.58,7.48,7.64,7.55,7.57,9.96,7.65,7.63,9.92,9.96
Colombia,7.56,7.52,7.65,7.71,7.61,9.95,7.62,7.6,9.95,9.93
Costa Rica,7.57,7.53,7.67,7.64,7.54,9.87,7.66,7.54,9.91,9.86
Cote d?Ivoire,7,6.83,7.42,7.08,7.33,10,7.08,7.25,10,9.33
Ecuador,7.69,7.55,7.58,6.97,6.03,10,8.03,7.64,8.72,10
El Salvador,7.59,7.57,7.67,7.71,7.61,9.94,7.56,7.65,9.81,9.94
Ethiopia,8.04,7.89,7.9,7.97,7.92,9.95,8.05,8.01,9.86,9.88
Guatemala,7.6,7.27,7.54,7.47,7.48,9.89,7.39,7.49,9.87,9.85
Haiti,7.13,7.11,7.15,7.06,7.28,8.55,7.01,7,9.11,9.78
Honduras,7.23,7.06,7.29,7.16,7.24,9.64,7.19,7.23,9.66,9.65
India,7.64,7.57,7.7,7.67,7.66,9.95,7.76,7.62,7.62,9.9
Indonesia,7.49,7.42,7.65,7.52,7.63,9.97,7.42,7.57,9.97,9.93
Japan,7.42,7.75,7.75,7.83,8.08,10,8.08,7.75,10,10
Kenya,7.87,7.71,7.79,7.8,7.73,9.97,7.71,7.78,9.97,9.97
Laos,7.31,7.28,7.5,7.42,7.36,10,7.47,7.5,10,10
Malawi,7.41,7.26,7.57,7.37,7.34,10,7.38,7.39,10,10
Mauritius,7.17,7.17,7.25,7.17,7.25,10,7.25,7.25,10,10
Mexico,7.43,7.23,7.46,7.33,7.38,9.66,7.31,7.38,9.97,9.74
Myanmar,7.41,7.12,7.3,7.13,7.27,10,7.18,7.33,10,10
Nicaragua,7.27,7.2,7.33,7.28,7.4,9.77,7.28,7.32,9.82,9.79
Panama,7.7,7.61,7.67,7.88,7.58,10,7.64,7.62,10,10
Papua New Guinea,8.33,7.83,8.33,8.25,8,9.33,7.92,8.42,10,9.33
Peru,7.7,7.54,7.69,7.67,7.8,9.47,7.6,7.66,9.87,9.53
Philippines,7.27,7.3,7.36,7.4,7.3,10,7.23,7.23,9.87,9.87
Rwanda,7.83,7.75,7.83,7.75,7.75,9.33,8,7.92,9.33,9.33
Taiwan,7.42,7.4,7.53,7.43,7.45,9.98,7.48,7.46,9.96,9.89
"Tanzania, United Republic Of",7.5,7.42,7.57,7.47,7.48,10,7.49,7.43,10,10
Thailand,7.6,7.47,7.48,7.52,7.55,9.96,7.56,7.53,9.96,9.94
Uganda,7.71,7.62,7.88,7.66,7.72,10,7.74,7.75,9.36,10
United States,7.93,7.85,7.83,7.82,7.84,9.93,7.87,7.99,9.5,9.87
United States (Hawaii),7.62,7.5,7.57,7.64,7.63,9.56,7.59,7.58,9.65,9.48
United States (Puerto Rico),7.6,7.48,7.65,7.65,7.66,9.66,7.65,7.54,9.83,9
Vietnam,7.36,7.2,7.39,7.46,7.54,9.92,7.72,7.38,9.58,9.67
Zambia,7.33,7.42,7.67,7.42,7.75,10,7.25,7.08,10,10
